DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-09-12,EQ,554.9,558.6,551.25,553.35,554.95,554.9,555.63,558.6,425.0,9677415,5377080074.6,127479,SBIN
2022-09-13,EQ,560.0,560.0,553.75,554.9,557.1,558.0,557.73,560.0,425.0,16707275,9318085634.25,148044,SBIN
2022-09-14,EQ,550.0,574.85,549.25,558.0,572.3,571.75,567.79,574.85,425.0,21632641,12282852152.3,301335,SBIN
2022-09-15,EQ,572.55,578.5,567.9,571.75,571.5,572.15,573.5,578.5,425.0,12749947,7312060768.8,224387,SBIN
2022-09-16,EQ,569.1,574.0,560.3,572.15,562.5,561.8,564.61,578.5,425.0,14739280,8321982741.65,231709,SBIN
2022-09-19,EQ,560.7,574.4,559.55,561.8,572.5,572.25,569.54,578.5,425.0,11194003,6375398054.4,163866,SBIN
2022-09-20,EQ,577.95,577.95,572.85,572.25,573.6,574.05,575.5,578.5,425.0,8484017,4882536374.35,176912,SBIN
2022-09-21,EQ,575.0,577.3,565.4,574.05,569.0,569.7,570.45,578.5,425.0,9392526,5357998661.95,174676,SBIN
2022-09-22,EQ,566.75,574.0,562.0,569.7,567.5,567.3,567.39,578.5,425.0,11869435,6734594427.3,181550,SBIN
2022-09-23,EQ,564.8,568.0,549.5,567.3,550.9,550.6,555.53,578.5,425.0,12563239,6979215908.2,282839,SBIN
2022-09-26,EQ,545.8,549.0,533.0,550.6,545.3,543.3,541.37,578.5,425.0,16158750,8747941723.25,274214,SBIN
2022-09-27,EQ,544.55,550.9,533.2,543.3,538.0,536.5,542.4,578.5,425.0,11066799,6002626270.3,154979,SBIN
2022-09-28,EQ,532.9,539.8,520.35,536.5,523.5,524.85,532.17,578.5,425.0,12233485,6510284800.4,183919,SBIN
2022-09-29,EQ,529.0,535.7,519.55,524.85,524.0,521.75,525.18,578.5,425.0,17310168,9090986645.6,215284,SBIN
2022-09-30,EQ,524.0,536.9,516.15,521.75,531.55,530.6,528.17,578.5,425.0,17466950,9225477677.2,199404,SBIN
