Date,Cashflow
17/11/2022,703.300000
18/11/2022,703.300000
21/11/2022,703.300000
22/11/2022,703.300000
23/11/2022,95.650000
24/11/2022,-513.700000
25/11/2022,-513.700000
28/11/2022,-513.700000
29/11/2022,-513.700000
30/11/2022,88.750000
01/12/2022,88.750000
02/12/2022,88.750000
05/12/2022,88.750000
06/12/2022,88.750000
07/12/2022,695.800000
08/12/2022,695.800000
09/12/2022,79.300000
12/12/2022,79.300000
13/12/2022,79.300000
14/12/2022,-546.200000
15/12/2022,-546.200000
16/12/2022,57.150000
19/12/2022,57.150000
20/12/2022,57.150000
21/12/2022,57.150000
22/12/2022,57.150000
23/12/2022,57.150000
26/12/2022,57.150000
27/12/2022,-544.750000
28/12/2022,-544.750000
29/12/2022,-544.750000
30/12/2022,-1158.450000
